model,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
Penalized logistic regression,0.64,0.0005757052389176731,0.12204951065054681,0.0
Penalized logistic regression,0.65,0.002960769800148033,0.09696521095484811,0.0
Penalized logistic regression,0.66,-0.003962206644315763,0.07040536421822607,0.0
Penalized logistic regression,0.67,-0.005809389229078359,0.04223582980059648,0.0
Penalized logistic regression,0.68,-0.01295336787564768,0.012305699481865107,0.0
Penalized logistic regression,0.69,-0.015042620758816634,-0.01955540698646152,0.0
Penalized logistic regression,0.7,-0.02245250431778929,-0.05354058721934363,0.0
Penalized logistic regression,0.71,-0.024834732892621048,-0.08986957298552789,0.0
Penalized logistic regression,0.72,-0.019245003700962247,-0.1287934863064396,0.0
Penalized logistic regression,0.73,-0.021301093839953936,-0.17060065246593736,0.0
Penalized logistic regression,0.74,-0.028696691909127138,-0.21562375448385807,0.0
Penalized logistic regression,0.75,-0.04145077720207254,-0.2642487046632125,0.0
Penalized logistic regression,0.76,-0.04922279792746114,-0.3169257340241798,0.0
Penalized logistic regression,0.77,-0.05203874746564542,-0.3741833746339267,0.0
Penalized logistic regression,0.78,-0.0551106924163919,-0.4366462552991053,0.0
Penalized logistic regression,0.79,-0.05847520355292377,-0.5050579817419198,0.0
Penalized logistic regression,0.8,-0.06217616580310882,-0.5803108808290158,0.0
Random forest,0.01,0.6807452766001989,0.6807452766001989,0.0
Random forest,0.02,0.6774875753410172,0.6774875753410172,0.0
Random forest,0.03,0.6741627049837081,0.6741627049837081,0.0
Random forest,0.04,0.6707685664939551,0.6707685664939551,0.0
Random forest,0.05,0.6673029724570494,0.6673029724570494,0.0
Random forest,0.06,0.6637636423768052,0.6637636423768052,0.0
Random forest,0.07,0.6601481976711794,0.6601481976711794,0.0
Random forest,0.08,0.6564541563415184,0.6564541563415184,0.0
Random forest,0.09,0.6526789272903263,0.6526789272903263,0.0
Random forest,0.1,0.6488198042602188,0.6488198042602188,0.0
Random forest,0.11,0.6448739593642662,0.6448739593642662,0.0
Random forest,0.12,0.6408384361752237,0.6408384361752237,0.0
Random forest,0.13,0.6367101423381574,0.6367101423381574,0.0
Random forest,0.14,0.6324858416676707,0.6324858416676707,0.0
Random forest,0.15,0.6281621456872905,0.6281621456872905,0.0
Random forest,0.16,0.6237355045645201,0.6237355045645201,0.0
Random forest,0.17,0.6192021973905987,0.6192021973905987,0.0
Random forest,0.18,0.6145583217490206,0.6145583217490206,0.0
Random forest,0.19,0.6097997825113541,0.6097997825113541,0.0
Random forest,0.2,0.604922279792746,0.604922279792746,0.0
Random forest,0.21,0.5999212959926543,0.5999212959926543,0.0
Random forest,0.22,0.5947920818387139,0.5947920818387139,0.0
Random forest,0.23,0.5895296413431128,0.5895296413431128,0.0
Random forest,0.24,0.5789473684210527,0.5841287155713117,0.0
Random forest,0.25,0.5734024179620034,0.5785837651122625,0.0
Random forest,0.26,0.569528077300098,0.5728889511272931,0.0
Random forest,0.27,0.558591809212861,0.5670381148413656,0.0
Random forest,0.28,0.5567069660333909,0.5610247553252734,0.0
Random forest,0.29,0.5508282857768372,0.5548420054002773,0.0
Random forest,0.3,0.53960029607698,0.5484826054774241,0.0
Random forest,0.31,0.5230156942254262,0.5419388751220244,0.0
Random forest,0.32,0.5114294422432185,0.535202682109113,0.0
Random forest,0.33,0.507385353027608,0.5282654087077565,0.0
Random forest,0.34,0.5007065473386716,0.5211179149002982,0.0
Random forest,0.35,0.49382223993622953,0.5137504982064567,0.0
Random forest,0.36,0.47927461139896366,0.5061528497409327,0.0
Random forest,0.37,0.47512130931820046,0.4983140060860268,0.0
Random forest,0.38,0.4658198228313556,0.4902222965067692,0.0
Random forest,0.39,0.4546844474645375,0.4818652849740932,0.0
Random forest,0.4,0.4490500863557858,0.47322970639032813,0.0
Random forest,0.41,0.44375164661456046,0.4643013963291473,0.0
Random forest,0.42,0.4261211363230303,0.45506521350723605,0.0
Random forest,0.43,0.41732569766384875,0.4455049540950823,0.0
Random forest,0.44,0.39933382679496665,0.43560325684678014,0.0
Random forest,0.45,0.3862458784738577,0.42534149788035797,0.0
Random forest,0.46,0.3772788332373824,0.41469967376703126,0.0
Random forest,0.47,0.36836445400332396,0.40365627138527715,0.0
Random forest,0.48,0.3742526903148665,0.3921881227580709,0.0
Random forest,0.49,0.3556842426089607,0.38027024281215077,0.0
