model,fold,y_true,probability
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Random forest,4,0,0.3929432884037795
Random forest,4,1,0.5891323961309151
Random forest,4,1,0.43695670236877177
Random forest,4,0,0.38850019423803467
Random forest,4,1,0.6892463435908831
Random forest,4,0,0.4714121811897548
Random forest,4,1,0.5966770082090815
Random forest,4,0,0.32754495636746583
Random forest,4,1,0.38907147075044574
Random forest,4,1,0.9441469707375719
Random forest,4,1,0.8198053686556084
Random forest,4,1,0.8478266369621006
Random forest,4,0,0.7273851337136612
Random forest,4,1,0.9264962938109121
Random forest,4,1,0.8248301517750922
Random forest,4,0,0.6336543475830361
Random forest,4,1,0.879394766349172
Random forest,4,1,0.7941825768927604
Random forest,4,1,0.525423411817526
Random forest,4,0,0.6269039288922678
Random forest,4,1,0.8698967302663579
Random forest,4,0,0.6918717288030871
Random forest,4,1,0.37732645863626657
Random forest,4,1,0.4114597311250849
Random forest,4,1,0.6367884882830251
Random forest,4,1,0.5858517932329349
Random forest,4,0,0.7241861478305991
